Date, Open , High , Low , Close  , Adj Close  ,Volume
2-May-24, $105.50 , $114.23 , $104.18 , $112.94 , $112.94 ,"15,402,000"
1-May-24, $101.55 , $110.93 , $101.00 , $102.83 , $102.83 ,"19,249,000"
30-Apr-24, $119.90 , $121.54 , $106.32 , $106.50 , $106.50 ,"24,936,000"
29-Apr-24, $125.00 , $130.84 , $122.84 , $129.30 , $129.30 ,"10,131,000"
26-Apr-24, $122.50 , $128.60 , $120.40 , $128.24 , $128.24 ,"8,815,000"
25-Apr-24, $122.60 , $126.77 , $120.11 , $124.04 , $124.04 ,"7,734,000"
24-Apr-24, $132.70 , $134.50 , $126.00 , $126.57 , $126.57 ,"9,512,000"
23-Apr-24, $131.10 , $139.45 , $129.89 , $133.86 , $133.86 ,"10,478,000"
22-Apr-24, $120.90 , $134.79 , $120.80 , $132.40 , $132.40 ,"19,411,000"
19-Apr-24, $123.70 , $125.86 , $116.62 , $117.41 , $117.41 ,"14,747,000"
18-Apr-24, $119.20 , $128.79 , $116.84 , $120.82 , $120.82 ,"17,697,000"
17-Apr-24, $125.80 , $126.42 , $113.20 , $118.81 , $118.81 ,"20,374,000"
16-Apr-24, $130.60 , $132.85 , $121.51 , $125.40 , $125.40 ,"17,292,000"
15-Apr-24, $147.00 , $149.00 , $132.10 , $133.59 , $133.59 ,"16,125,000"
12-Apr-24, $153.50 , $153.78 , $143.30 , $147.96 , $147.96 ,"12,906,000"
11-Apr-24, $154.30 , $157.84 , $151.01 , $155.18 , $155.18 ,"14,386,000"
10-Apr-24, $138.75 , $156.60 , $137.38 , $156.60 , $156.60 ,"19,392,000"
9-Apr-24, $147.81 , $148.02 , $137.50 , $144.10 , $144.10 ,"16,717,000"
8-Apr-24, $160.21 , $162.38 , $149.12 , $151.30 , $151.30 ,"20,574,000"
5-Apr-24, $157.00 , $167.43 , $143.20 , $143.90 , $143.90 ,"22,740,000"
4-Apr-24, $169.30 , $173.97 , $161.01 , $161.54 , $161.54 ,"20,171,000"
3-Apr-24, $158.00 , $169.95 , $156.83 , $160.61 , $160.61 ,"19,772,000"
2-Apr-24, $149.20 , $159.23 , $146.29 , $157.88 , $157.88 ,"18,546,000"
1-Apr-24, $164.50 , $169.02 , $158.66 , $163.67 , $163.67 ,"19,930,000"
28-Mar-24, $194.30 , $198.90 , $164.55 , $170.46 , $170.46 ,"45,559,000"
27-Mar-24, $195.30 , $200.00 , $184.20 , $191.92 , $191.92 ,"26,226,000"
26-Mar-24, $188.24 , $190.95 , $179.20 , $187.70 , $187.70 ,"23,939,000"
25-Mar-24, $160.50 , $187.37 , $159.44 , $185.60 , $185.60 ,"38,840,000"
22-Mar-24, $152.00 , $159.45 , $149.00 , $152.30 , $152.30 ,"20,836,000"
21-Mar-24, $159.41 , $170.44 , $158.10 , $159.93 , $159.93 ,"31,590,000"
20-Mar-24, $142.30 , $155.00 , $136.30 , $154.65 , $154.65 ,"33,314,000"
19-Mar-24, $132.61 , $145.00 , $123.01 , $141.75 , $141.75 ,"44,644,000"
18-Mar-24, $171.85 , $173.49 , $144.50 , $150.28 , $150.28 ,"45,111,000"
15-Mar-24, $160.00 , $181.50 , $157.00 , $178.24 , $178.24 ,"44,750,000"
14-Mar-24, $170.80 , $174.60 , $155.08 , $167.68 , $167.68 ,"49,868,000"
13-Mar-24, $166.00 , $177.40 , $162.00 , $176.62 , $176.62 ,"37,759,000"
12-Mar-24, $154.40 , $159.50 , $143.80 , $159.34 , $159.34 ,"35,489,000"
11-Mar-24, $155.00 , $165.71 , $147.74 , $148.42 , $148.42 ,"41,024,000"
8-Mar-24, $132.80 , $145.17 , $128.37 , $142.56 , $142.56 ,"37,418,000"
7-Mar-24, $128.50 , $132.10 , $122.50 , $130.00 , $130.00 ,"21,677,000"
6-Mar-24, $114.00 , $128.55 , $113.11 , $124.62 , $124.62 ,"36,940,000"
5-Mar-24, $124.42 , $133.78 , $103.51 , $105.10 , $105.10 ,"57,366,000"
4-Mar-24, $120.00 , $135.99 , $119.00 , $133.40 , $133.40 ,"54,250,000"
1-Mar-24, $99.60 , $108.00 , $99.20 , $107.94 , $107.94 ,"26,964,000"
29-Feb-24, $99.90 , $104.00 , $96.04 , $102.28 , $102.28 ,"35,206,000"
28-Feb-24, $95.20 , $100.89 , $91.55 , $96.29 , $96.29 ,"48,388,000"
27-Feb-24, $86.61 , $89.00 , $84.18 , $87.18 , $87.18 ,"22,748,000"
26-Feb-24, $68.79 , $81.00 , $68.79 , $79.65 , $79.65 ,"22,695,000"
23-Feb-24, $69.90 , $70.43 , $67.81 , $68.74 , $68.74 ,"7,393,000"
22-Feb-24, $68.37 , $72.32 , $68.00 , $71.32 , $71.32 ,"10,425,000"
21-Feb-24, $68.43 , $68.54 , $66.43 , $67.28 , $67.28 ,"7,033,000"
20-Feb-24, $71.08 , $72.20 , $67.03 , $70.50 , $70.50 ,"9,680,000"
16-Feb-24, $73.50 , $74.00 , $68.94 , $69.96 , $69.96 ,"13,407,000"
15-Feb-24, $79.24 , $80.68 , $70.75 , $71.80 , $71.80 ,"23,828,000"
14-Feb-24, $74.60 , $77.48 , $73.42 , $76.99 , $76.99 ,"20,705,000"
13-Feb-24, $67.50 , $70.12 , $65.56 , $68.60 , $68.60 ,"13,915,000"
12-Feb-24, $65.20 , $72.53 , $65.02 , $71.75 , $71.75 ,"23,100,000"
9-Feb-24, $62.74 , $64.89 , $61.41 , $64.63 , $64.63 ,"24,685,000"
8-Feb-24, $53.00 , $58.85 , $52.51 , $58.78 , $58.78 ,"22,631,000"
7-Feb-24, $49.95 , $50.86 , $46.75 , $50.80 , $50.80 ,"10,997,000"
6-Feb-24, $49.33 , $50.92 , $49.31 , $49.80 , $49.80 ,"6,899,000"
5-Feb-24, $50.20 , $50.35 , $48.20 , $49.06 , $49.06 ,"8,599,000"
2-Feb-24, $49.72 , $50.90 , $49.10 , $50.01 , $50.01 ,"6,098,000"
1-Feb-24, $50.18 , $51.51 , $49.60 , $50.35 , $50.35 ,"6,281,000"
31-Jan-24, $50.80 , $52.79 , $49.94 , $50.12 , $50.12 ,"9,380,000"
30-Jan-24, $51.70 , $52.58 , $50.76 , $51.95 , $51.95 ,"7,388,000"
29-Jan-24, $50.00 , $52.50 , $49.02 , $51.38 , $51.38 ,"13,649,000"
26-Jan-24, $47.00 , $50.10 , $46.47 , $49.45 , $49.45 ,"14,660,000"
25-Jan-24, $45.23 , $46.40 , $44.59 , $45.78 , $45.78 ,"6,608,000"
24-Jan-24, $46.00 , $46.20 , $44.51 , $45.10 , $45.10 ,"8,233,000"
23-Jan-24, $45.00 , $45.98 , $43.87 , $45.02 , $45.02 ,"11,716,000"
22-Jan-24, $46.80 , $48.40 , $45.54 , $47.02 , $47.02 ,"11,431,000"
19-Jan-24, $48.45 , $48.72 , $46.50 , $48.10 , $48.10 ,"11,772,000"
18-Jan-24, $50.00 , $52.20 , $47.78 , $48.66 , $48.66 ,"16,605,000"
17-Jan-24, $47.42 , $49.91 , $47.42 , $49.90 , $49.90 ,"9,766,000"
16-Jan-24, $47.90 , $48.95 , $46.70 , $48.21 , $48.21 ,"16,453,000"
12-Jan-24, $52.50 , $52.59 , $48.10 , $48.55 , $48.55 ,"27,403,000"
11-Jan-24, $59.90 , $61.10 , $53.03 , $53.62 , $53.62 ,"25,704,000"
10-Jan-24, $56.67 , $58.70 , $55.38 , $56.57 , $56.57 ,"16,409,000"
9-Jan-24, $60.00 , $60.28 , $57.13 , $57.73 , $57.73 ,"14,346,000"
8-Jan-24, $64.00 , $64.69 , $58.65 , $59.80 , $59.80 ,"25,143,000"
5-Jan-24, $64.87 , $65.40 , $63.00 , $63.11 , $63.11 ,"9,323,000"
4-Jan-24, $63.86 , $66.80 , $62.85 , $65.58 , $65.58 ,"11,193,000"
3-Jan-24, $64.32 , $65.86 , $62.53 , $63.11 , $63.11 ,"18,806,000"
2-Jan-24, $69.25 , $72.78 , $68.00 , $68.51 , $68.51 ,"22,074,000"
